date;currency;digital_code;letter_code;rate
1973-05-01;Австралийский доллар;036;AUD;1.06
1973-05-01;Болгарский лев;975;BGN;0.7692
1973-05-01;Венгерский форинт;348;HUF;0.0767
1973-05-01;Датская крона;208;DKK;0.1188
1973-05-01;Доллар США;840;USD;0.75
1973-05-01;Индийская рупия;356;INR;0.1139
1973-05-01;Канадский доллар;124;CAD;0.7535
1973-05-01;Китайский юань;156;CNY;0.45
1973-05-01;Марка ГДР;;;0.405
1973-05-01;Марка ФРГ;;;0.263
1973-05-01;Монгольский тугрик;;;0.225
1973-05-01;Новозеландский доллар;;;1.01
1973-05-01;Норвежская крона;578;NOK;0.1262
1973-05-01;Польский злотый;985;PLN;0.225
1973-05-01;Сингапурский доллар;702;SGD;0.294
1973-05-01;Турецкая лира;949;TRY;0.0533
1973-05-01;Французский франк;250;FRF;0.165
1973-05-01;Фунт стерлингов Соединенного королевства;826;GBP;1.85
1973-05-01;Чехословацкая крона;;;0.125
1973-05-01;Шведская крона;752;SEK;0.166
1973-05-01;Швейцарский франк;756;CHF;0.231
1973-05-01;Югославский динар;;;0.0439
1973-05-01;Японская иена;392;JPY;0.0028
1973-06-01;Австралийский доллар;036;AUD;1.06
1973-06-01;Болгарский лев;975;BGN;0.7692
1973-06-01;Венгерский форинт;348;HUF;0.0767
1973-06-01;Датская крона;208;DKK;0.1188
1973-06-01;Доллар США;840;USD;0.725
1973-06-01;Индийская рупия;356;INR;0.1139
1973-06-01;Канадский доллар;124;CAD;0.7252
1973-06-01;Китайский юань;156;CNY;0.45
1973-06-01;Марка ГДР;;;0.405
1973-06-01;Марка ФРГ;;;0.263
1973-06-01;Монгольский тугрик;;;0.225
1973-06-01;Новозеландский доллар;;;1.01
1973-06-01;Норвежская крона;578;NOK;0.1284
1973-06-01;Польский злотый;985;PLN;0.225
1973-06-01;Сингапурский доллар;702;SGD;0.294
1973-06-01;Турецкая лира;949;TRY;0.0533
1973-06-01;Французский франк;250;FRF;0.165
1973-06-01;Фунт стерлингов Соединенного королевства;826;GBP;1.85
1973-06-01;Чехословацкая крона;;;0.125
1973-06-01;Шведская крона;752;SEK;0.166
1973-06-01;Швейцарский франк;756;CHF;0.235
1973-06-01;Югославский динар;;;0.0439
1973-06-01;Японская иена;392;JPY;0.0028
1973-07-01;Австралийский доллар;036;AUD;1.06
1973-07-01;Болгарский лев;975;BGN;0.7692
